model_id,batch_index,status,loop_start_utc,loop_end_utc,loop_duration_seconds,iterations_completed,tokens_used_total,final_iteration_success,reason
2,1,ok,2026-02-20T14:13:14.312072Z,2026-02-20T14:13:19.858254Z,5.546177791009541,1,626,True,
4,1,ok,2026-02-20T14:13:14.315165Z,2026-02-20T14:13:19.862144Z,5.5469486660003895,1,681,True,
1,1,ok,2026-02-20T14:13:14.319595Z,2026-02-20T14:13:22.238466Z,7.918849583002157,1,903,True,
5,1,ok,2026-02-20T14:13:19.863059Z,2026-02-20T14:13:24.649047Z,4.785979874999612,1,450,True,
3,1,ok,2026-02-20T14:13:14.317388Z,2026-02-20T14:13:24.649961Z,10.332526708996738,1,1119,True,
6,1,ok,2026-02-20T14:13:19.867387Z,2026-02-20T14:13:27.587877Z,7.720485166995786,1,1164,True,
7,1,ok,2026-02-20T14:13:22.242541Z,2026-02-20T14:13:27.956295Z,5.713742250009091,1,635,True,
8,1,ok,2026-02-20T14:13:24.655849Z,2026-02-20T14:13:32.224899Z,7.56903629199951,1,833,True,
9,1,ok,2026-02-20T14:13:24.656922Z,2026-02-20T14:13:33.933756Z,9.276804124994669,1,1133,True,
10,1,ok,2026-02-20T14:13:27.594738Z,2026-02-20T14:13:35.902889Z,8.308131750003668,1,955,True,
12,1,ok,2026-02-20T14:13:32.239325Z,2026-02-20T14:13:38.047547Z,5.808209415990859,1,780,True,
11,1,ok,2026-02-20T14:13:27.960029Z,2026-02-20T14:13:40.199467Z,12.239415042000473,1,1397,True,
13,1,ok,2026-02-20T14:13:33.938941Z,2026-02-20T14:13:44.930529Z,10.99155749999045,1,1317,True,
14,1,ok,2026-02-20T14:13:35.908284Z,2026-02-20T14:13:46.132713Z,10.224407624991727,1,1136,True,
15,1,ok,2026-02-20T14:13:38.051358Z,2026-02-20T14:13:46.610500Z,8.559126833992195,1,967,True,
16,1,ok,2026-02-20T14:13:40.204281Z,2026-02-20T14:13:48.266253Z,8.061965957997018,1,974,True,
19,1,ok,2026-02-20T14:13:46.616034Z,2026-02-20T14:13:52.795488Z,6.179443125001853,1,785,True,
17,1,ok,2026-02-20T14:13:44.934460Z,2026-02-20T14:13:52.954574Z,8.020091833008337,1,875,True,
18,1,ok,2026-02-20T14:13:46.143945Z,2026-02-20T14:13:53.891466Z,7.747509042004822,1,814,True,
20,1,ok,2026-02-20T14:13:48.274149Z,2026-02-20T14:13:55.565594Z,7.291424208990065,1,765,True,
22,1,ok,2026-02-20T14:13:52.958984Z,2026-02-20T14:13:57.746076Z,4.787086416006787,1,647,True,
21,1,ok,2026-02-20T14:13:52.800190Z,2026-02-20T14:14:00.120837Z,7.32062870899972,1,824,True,
23,1,ok,2026-02-20T14:13:53.898387Z,2026-02-20T14:14:01.933158Z,8.034773834006046,1,875,True,
24,1,ok,2026-02-20T14:13:55.569385Z,2026-02-20T14:14:04.463023Z,8.893615041990415,1,937,True,
25,1,ok,2026-02-20T14:13:57.750469Z,2026-02-20T14:14:04.930745Z,7.180258624997805,1,847,True,
27,1,ok,2026-02-20T14:14:01.952197Z,2026-02-20T14:14:09.805367Z,7.853151584000443,1,897,True,
28,1,ok,2026-02-20T14:14:04.466869Z,2026-02-20T14:14:12.465346Z,7.998476207998465,1,929,True,
26,1,ok,2026-02-20T14:14:00.124975Z,2026-02-20T14:14:16.536688Z,16.41165908399853,1,1715,True,
29,1,ok,2026-02-20T14:14:04.936076Z,2026-02-20T14:14:16.704006Z,11.767891249997774,1,1226,True,
30,1,ok,2026-02-20T14:14:09.809476Z,2026-02-20T14:14:21.045390Z,11.235877125000115,1,1243,True,
33,2,ok,2026-02-20T14:14:21.057956Z,2026-02-20T14:14:29.876200Z,8.818231208992074,1,715,True,
32,2,ok,2026-02-20T14:14:21.056756Z,2026-02-20T14:14:31.142761Z,10.085977249997086,1,885,True,
31,2,ok,2026-02-20T14:14:21.054792Z,2026-02-20T14:14:35.420355Z,14.365523999993457,1,1369,True,
34,2,ok,2026-02-20T14:14:21.058636Z,2026-02-20T14:14:39.579547Z,18.520862167002633,1,1931,True,
36,2,ok,2026-02-20T14:14:31.151134Z,2026-02-20T14:14:41.429317Z,10.278159833003883,1,1180,True,
35,2,ok,2026-02-20T14:14:29.882750Z,2026-02-20T14:15:04.643763Z,34.76091541600181,2,2516,True,
38,2,ok,2026-02-20T14:14:39.590108Z,2026-02-20T14:15:05.807395Z,26.21720433300652,1,745,True,
39,2,ok,2026-02-20T14:14:41.433918Z,2026-02-20T14:15:06.789932Z,25.355891750004957,1,880,True,
37,2,ok,2026-02-20T14:14:35.425083Z,2026-02-20T14:15:14.416184Z,38.990986083008465,1,1582,True,
41,2,ok,2026-02-20T14:15:05.819511Z,2026-02-20T14:15:16.193492Z,10.373954791997676,1,861,True,
