model_id,batch_index,iteration,iteration_start,iteration_end,iteration_duration_seconds,success,return_code,tokens_used_this_iter_total,tokens_used_total
2,1,1,2026-02-20T14:13:15.627241Z,2026-02-20T14:13:19.711593Z,4.084359290995053,True,0,626,626
4,1,1,2026-02-20T14:13:15.622916Z,2026-02-20T14:13:19.701873Z,4.078976624994539,True,0,681,681
1,1,1,2026-02-20T14:13:15.625164Z,2026-02-20T14:13:22.161942Z,6.536778374997084,True,0,903,903
5,1,1,2026-02-20T14:13:20.545466Z,2026-02-20T14:13:24.546527Z,4.001054332999047,True,0,450,450
3,1,1,2026-02-20T14:13:15.625208Z,2026-02-20T14:13:24.546330Z,8.921111250005197,True,0,1119,1119
6,1,1,2026-02-20T14:13:20.545261Z,2026-02-20T14:13:27.496968Z,6.951713792004739,True,0,1164,1164
7,1,1,2026-02-20T14:13:22.895747Z,2026-02-20T14:13:27.831771Z,4.936024624999845,True,0,635,635
8,1,1,2026-02-20T14:13:25.755526Z,2026-02-20T14:13:31.942326Z,6.186787583006662,True,0,833,833
9,1,1,2026-02-20T14:13:25.662952Z,2026-02-20T14:13:33.840715Z,8.17774100000679,True,0,1133,1133
10,1,1,2026-02-20T14:13:28.633827Z,2026-02-20T14:13:35.800243Z,7.166412542006583,True,0,955,955
12,1,1,2026-02-20T14:13:33.242937Z,2026-02-20T14:13:37.967626Z,4.724686750007095,True,0,780,780
11,1,1,2026-02-20T14:13:29.103388Z,2026-02-20T14:13:40.112488Z,11.00882062499295,True,0,1397,1397
13,1,1,2026-02-20T14:13:34.663923Z,2026-02-20T14:13:44.855597Z,10.191656334005529,True,0,1317,1317
14,1,1,2026-02-20T14:13:36.810086Z,2026-02-20T14:13:45.953511Z,9.143416000006255,True,0,1136,1136
15,1,1,2026-02-20T14:13:38.876629Z,2026-02-20T14:13:46.346216Z,7.469588708001538,True,0,967,967
16,1,1,2026-02-20T14:13:41.109815Z,2026-02-20T14:13:48.058887Z,6.949109334003879,True,0,974,974
19,1,1,2026-02-20T14:13:47.601069Z,2026-02-20T14:13:52.706405Z,5.105360957997618,True,0,785,785
17,1,1,2026-02-20T14:13:45.966635Z,2026-02-20T14:13:52.865765Z,6.899139167013345,True,0,875,875
18,1,1,2026-02-20T14:13:47.227573Z,2026-02-20T14:13:53.776124Z,6.5485576250066515,True,0,814,814
20,1,1,2026-02-20T14:13:49.257005Z,2026-02-20T14:13:55.489115Z,6.232124458998442,True,0,765,765
22,1,1,2026-02-20T14:13:53.474490Z,2026-02-20T14:13:57.662024Z,4.187535792007111,True,0,647,647
21,1,1,2026-02-20T14:13:53.325248Z,2026-02-20T14:14:00.043990Z,6.718733333007549,True,0,824,824
23,1,1,2026-02-20T14:13:54.781077Z,2026-02-20T14:14:01.840316Z,7.05922641599318,True,0,875,875
24,1,1,2026-02-20T14:13:56.538369Z,2026-02-20T14:14:04.379932Z,7.841575999991619,True,0,937,937
25,1,1,2026-02-20T14:13:58.514365Z,2026-02-20T14:14:04.788102Z,6.2737465420068474,True,0,847,847
27,1,1,2026-02-20T14:14:02.639631Z,2026-02-20T14:14:09.718323Z,7.078686291992199,True,0,897,897
28,1,1,2026-02-20T14:14:05.197512Z,2026-02-20T14:14:12.381128Z,7.183601165990694,True,0,929,929
26,1,1,2026-02-20T14:14:00.879466Z,2026-02-20T14:14:16.424488Z,15.545036541996524,True,0,1715,1715
29,1,1,2026-02-20T14:14:05.907213Z,2026-02-20T14:14:16.565450Z,10.658220084005734,True,0,1226,1226
30,1,1,2026-02-20T14:14:10.718750Z,2026-02-20T14:14:20.962517Z,10.243755000003148,True,0,1243,1243
33,2,1,2026-02-20T14:14:22.250892Z,2026-02-20T14:14:29.768964Z,7.518046291996143,True,0,715,715
32,2,1,2026-02-20T14:14:22.226492Z,2026-02-20T14:14:31.036516Z,8.810010582994437,True,0,885,885
31,2,1,2026-02-20T14:14:22.251281Z,2026-02-20T14:14:35.329044Z,13.077745040995069,True,0,1369,1369
34,2,1,2026-02-20T14:14:22.263807Z,2026-02-20T14:14:39.485243Z,17.22140149999177,True,0,1931,1931
36,2,1,2026-02-20T14:14:31.878497Z,2026-02-20T14:14:41.333346Z,9.454837041994324,True,0,1180,1180
35,2,1,2026-02-20T14:14:30.696866Z,2026-02-20T14:14:37.358273Z,6.661436958995182,False,1,906,906
35,2,2,2026-02-20T14:14:37.358370Z,2026-02-20T14:15:04.554846Z,27.19642754099914,True,0,1610,2516
38,2,1,2026-02-20T14:14:40.586513Z,2026-02-20T14:15:05.565335Z,24.979004042004817,True,0,745,745
39,2,1,2026-02-20T14:14:42.087364Z,2026-02-20T14:15:06.604770Z,24.51737845799653,True,0,880,880
37,2,1,2026-02-20T14:14:36.502120Z,2026-02-20T14:15:14.180098Z,37.67788241599919,True,0,1582,1582
41,2,1,2026-02-20T14:15:07.082364Z,2026-02-20T14:15:16.113736Z,9.031375207996462,True,0,861,861
42,2,1,2026-02-20T14:15:07.637715Z,2026-02-20T14:15:21.904836Z,14.267093707996537,True,0,1513,1513
40,2,1,2026-02-20T14:15:06.357359Z,2026-02-20T14:15:22.464404Z,16.107024416996865,True,0,1451,1451
45,2,1,2026-02-20T14:15:22.785363Z,2026-02-20T14:15:44.300553Z,21.515148874997976,True,0,926,926
46,2,1,2026-02-20T14:15:24.034897Z,2026-02-20T14:15:46.376590Z,22.341669707995607,True,0,1126,1126
44,2,1,2026-02-20T14:15:16.996863Z,2026-02-20T14:15:47.054976Z,30.058051792002516,True,0,1117,1117
43,2,1,2026-02-20T14:15:15.263570Z,2026-02-20T14:15:47.494210Z,32.230558583003585,True,0,1441,1441
47,2,1,2026-02-20T14:15:46.131746Z,2026-02-20T14:15:53.232875Z,7.101079708998441,True,0,957,957
49,2,1,2026-02-20T14:15:48.033157Z,2026-02-20T14:16:12.102557Z,24.06933908299834,True,0,1251,1251
50,2,1,2026-02-20T14:15:48.627205Z,2026-02-20T14:16:13.411031Z,24.78375933400821,True,0,1441,1441
