model_id,batch_index,status,loop_start_utc,loop_end_utc,loop_duration_seconds,iterations_completed,tokens_used_total,final_iteration_success,reason
4,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/4/4.sysml already exists with successful manifest
3,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/3/3.sysml already exists with successful manifest
2,1,ok,2026-02-20T15:04:39.617657Z,2026-02-20T15:05:13.192375Z,33.574784415992326,1,1965,True,
1,1,ok,2026-02-20T15:04:39.617533Z,2026-02-20T15:05:28.571325Z,48.953876125000534,2,4430,True,
7,1,ok,2026-02-20T15:05:13.202338Z,2026-02-20T15:05:40.968544Z,27.766248792002443,1,1600,True,
8,1,ok,2026-02-20T15:05:28.576897Z,2026-02-20T15:05:50.792163Z,22.215304957993794,1,1363,True,
5,1,ok,2026-02-20T15:04:39.621574Z,2026-02-20T15:06:15.890430Z,96.26898941599939,3,7396,True,
10,1,ok,2026-02-20T15:05:50.795958Z,2026-02-20T15:06:55.094942Z,64.29908250000153,2,5298,True,
9,1,ok,2026-02-20T15:05:40.972411Z,2026-02-20T15:07:11.311367Z,90.33908695800346,2,6951,True,
13,1,ok,2026-02-20T15:07:11.317529Z,2026-02-20T15:07:47.478392Z,36.16092916599882,1,2107,True,
12,1,ok,2026-02-20T15:06:55.101743Z,2026-02-20T15:07:49.227820Z,54.126156749989605,1,3064,True,
6,1,ok,2026-02-20T15:04:39.622651Z,2026-02-20T15:07:53.322577Z,193.7001875829883,4,15272,True,
11,1,ok,2026-02-20T15:06:15.896470Z,2026-02-20T15:07:58.617256Z,102.7209288749873,2,6430,True,
16,1,ok,2026-02-20T15:07:53.330807Z,2026-02-20T15:08:27.671628Z,34.340872374988976,2,2893,True,
17,1,ok,2026-02-20T15:07:58.623177Z,2026-02-20T15:08:41.123716Z,42.50060704200587,2,3180,True,
15,1,ok,2026-02-20T15:07:49.232213Z,2026-02-20T15:09:05.161560Z,75.929459417006,2,5176,True,
19,1,ok,2026-02-20T15:08:41.128623Z,2026-02-20T15:09:37.227032Z,56.098496499995235,1,3131,True,
18,1,ok,2026-02-20T15:08:27.676822Z,2026-02-20T15:09:45.804909Z,78.12820470800216,2,6112,True,
20,1,ok,2026-02-20T15:09:05.167099Z,2026-02-20T15:09:56.351235Z,51.18422295899654,1,2854,True,
14,1,ok,2026-02-20T15:07:47.483177Z,2026-02-20T15:10:05.802948Z,138.31995945800736,2,8849,True,
22,1,ok,2026-02-20T15:09:45.810842Z,2026-02-20T15:10:26.022143Z,40.211375082988525,1,2239,True,
24,1,ok,2026-02-20T15:10:05.817583Z,2026-02-20T15:10:26.128394Z,20.310835833006422,1,1200,True,
21,1,ok,2026-02-20T15:09:37.230731Z,2026-02-20T15:10:44.950900Z,67.72026883400395,3,6293,True,
23,1,ok,2026-02-20T15:09:56.355189Z,2026-02-20T15:10:50.058807Z,53.70370758300123,1,2911,True,
26,1,ok,2026-02-20T15:10:26.135258Z,2026-02-20T15:11:03.448964Z,37.31376829199144,1,2190,True,
25,1,ok,2026-02-20T15:10:26.026966Z,2026-02-20T15:11:14.412821Z,48.38592837500619,1,2743,True,
28,1,ok,2026-02-20T15:10:50.064975Z,2026-02-20T15:11:39.604794Z,49.539897208000184,1,2757,True,
27,1,ok,2026-02-20T15:10:44.957242Z,2026-02-20T15:12:04.048628Z,79.09149341699958,3,6185,True,
29,1,ok,2026-02-20T15:11:03.453828Z,2026-02-20T15:12:20.088209Z,76.63448599999538,1,4179,True,
30,1,ok,2026-02-20T15:11:14.420560Z,2026-02-20T15:13:08.742850Z,114.32245658300235,3,9570,True,
