error_family,error_count,prompts_affected,iteration_rows_with_family,provider,model,scope
parameter-membership-owning-type,1,1,1,deepseek_reasoner,deepseek-reasoner,all_iterations
parsing-error,413,78,78,deepseek_reasoner,deepseek-reasoner,first_failed_iteration
reference-error,225,48,48,deepseek_reasoner,deepseek-reasoner,first_failed_iteration
feature-chaining-feature-not-one,14,7,7,deepseek_reasoner,deepseek-reasoner,first_failed_iteration
invocation-expression-instantiated-type,6,2,2,deepseek_reasoner,deepseek-reasoner,first_failed_iteration
type-error,6,1,1,deepseek_reasoner,deepseek-reasoner,first_failed_iteration
feature-reference-expression-referent-is-feature,5,2,2,deepseek_reasoner,deepseek-reasoner,first_failed_iteration
feature-crossing-specialization,4,1,1,deepseek_reasoner,deepseek-reasoner,first_failed_iteration
connector-related-features,3,3,3,deepseek_reasoner,deepseek-reasoner,first_failed_iteration
parsing-error,413,78,78,deepseek_reasoner,deepseek-reasoner,first_iteration
reference-error,225,48,48,deepseek_reasoner,deepseek-reasoner,first_iteration
feature-chaining-feature-not-one,14,7,7,deepseek_reasoner,deepseek-reasoner,first_iteration
invocation-expression-instantiated-type,6,2,2,deepseek_reasoner,deepseek-reasoner,first_iteration
type-error,6,1,1,deepseek_reasoner,deepseek-reasoner,first_iteration
feature-reference-expression-referent-is-feature,5,2,2,deepseek_reasoner,deepseek-reasoner,first_iteration
feature-crossing-specialization,4,1,1,deepseek_reasoner,deepseek-reasoner,first_iteration
connector-related-features,3,3,3,deepseek_reasoner,deepseek-reasoner,first_iteration
parsing-error,601,85,129,mistral_large,mistral-large-latest,all_iterations
reference-error,277,49,78,mistral_large,mistral-large-latest,all_iterations
type-error,29,8,10,mistral_large,mistral-large-latest,all_iterations
feature-crossing-specialization,23,1,4,mistral_large,mistral-large-latest,all_iterations
parameter-membership-owning-type,16,6,8,mistral_large,mistral-large-latest,all_iterations
invocation-expression-instantiated-type,12,6,8,mistral_large,mistral-large-latest,all_iterations
feature-reference-expression-referent-is-feature,11,4,5,mistral_large,mistral-large-latest,all_iterations
attribute-usage-features,7,1,1,mistral_large,mistral-large-latest,all_iterations
cross-subsetting-crossing-feature,6,1,1,mistral_large,mistral-large-latest,all_iterations
feature-chaining-feature-not-one,5,2,3,mistral_large,mistral-large-latest,all_iterations
feature-owned-cross-subsetting,4,1,1,mistral_large,mistral-large-latest,all_iterations
quantity-operator-expression,4,2,2,mistral_large,mistral-large-latest,all_iterations
part-usage-part-definition,2,1,2,mistral_large,mistral-large-latest,all_iterations
feature-value-overriding,1,1,1,mistral_large,mistral-large-latest,all_iterations
port-definition-owned-usages-not-composite,1,1,1,mistral_large,mistral-large-latest,all_iterations
subsetting-uniqueness-conformance,1,1,1,mistral_large,mistral-large-latest,all_iterations
parsing-error,396,83,83,mistral_large,mistral-large-latest,first_failed_iteration
reference-error,157,43,43,mistral_large,mistral-large-latest,first_failed_iteration
parameter-membership-owning-type,11,5,5,mistral_large,mistral-large-latest,first_failed_iteration
feature-reference-expression-referent-is-feature,10,4,4,mistral_large,mistral-large-latest,first_failed_iteration
invocation-expression-instantiated-type,10,6,6,mistral_large,mistral-large-latest,first_failed_iteration
type-error,8,4,4,mistral_large,mistral-large-latest,first_failed_iteration
attribute-usage-features,7,1,1,mistral_large,mistral-large-latest,first_failed_iteration
cross-subsetting-crossing-feature,6,1,1,mistral_large,mistral-large-latest,first_failed_iteration
feature-owned-cross-subsetting,4,1,1,mistral_large,mistral-large-latest,first_failed_iteration
quantity-operator-expression,4,2,2,mistral_large,mistral-large-latest,first_failed_iteration
feature-crossing-specialization,2,1,1,mistral_large,mistral-large-latest,first_failed_iteration
feature-chaining-feature-not-one,1,1,1,mistral_large,mistral-large-latest,first_failed_iteration
part-usage-part-definition,1,1,1,mistral_large,mistral-large-latest,first_failed_iteration
port-definition-owned-usages-not-composite,1,1,1,mistral_large,mistral-large-latest,first_failed_iteration
subsetting-uniqueness-conformance,1,1,1,mistral_large,mistral-large-latest,first_failed_iteration
parsing-error,396,83,83,mistral_large,mistral-large-latest,first_iteration
reference-error,157,43,43,mistral_large,mistral-large-latest,first_iteration
parameter-membership-owning-type,11,5,5,mistral_large,mistral-large-latest,first_iteration
