provider,model,total_prompts,first_shot_pass_count,first_shot_fail_count,eventual_pass_count,unresolved_count,recovered_count,first_shot_pass_rate_pct,first_shot_fail_rate_pct,eventual_pass_rate_pct,unresolved_rate_pct,absolute_gain_pp,relative_gain_pct,first_shot_pass_ci95_low_pct,first_shot_pass_ci95_high_pct,eventual_pass_ci95_low_pct,eventual_pass_ci95_high_pct,unresolved_ci95_low_pct,unresolved_ci95_high_pct,iterations_to_success_mean,iterations_to_success_median,iterations_to_success_std,iterations_to_success_max,iterations_to_success_q25,iterations_to_success_q75,iterations_to_success_bootstrap_ci95_low,iterations_to_success_bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_statistic,mcnemar_pvalue
ALL,ALL,604,309,295,604,0,295,51.158940397350996,48.841059602649004,100.0,0.0,48.841059602649004,95.46925566343042,47.17780717927067,55.12542498708436,99.36801631988921,100.0,4.336808689942018e-17,0.6319836801107888,1.7268211920529801,1.0,0.9618989447519914,8.0,1.0,2.0,1.6523178807947019,1.8062913907284768,0,295,293.00338983050847,1.1019357426556578e-65
anthropic,claude-sonnet-4-6,151,125,26,151,0,26,82.78145695364239,17.218543046357617,100.0,0.0,17.21854304635761,20.8,75.96622075669353,87.97014406058817,97.51910189302563,100.00000000000003,1.734723475976807e-16,2.480898106974388,1.2251655629139073,1.0,0.6446930580306008,7.0,1.0,1.0,1.1324503311258278,1.3377483443708609,0,26,24.03846153846154,9.443043861123422e-07
deepseek_reasoner,deepseek-reasoner,151,62,89,151,0,89,41.05960264900662,58.94039735099338,100.0,0.0,58.94039735099338,143.5483870967742,33.52971791507503,49.03309168021179,97.51910189302563,100.00000000000003,1.734723475976807e-16,2.480898106974388,1.9735099337748345,2.0,1.1310586183898674,8.0,1.0,2.0,1.8013245033112584,2.1589403973509933,0,89,87.01123595505618,1.0790640155877607e-20
mistral_large,mistral-large-latest,151,59,92,151,0,92,39.0728476821192,60.9271523178808,100.0,0.0,60.9271523178808,155.9322033898305,31.654096220350343,47.0337821738891,97.51910189302563,100.00000000000003,1.734723475976807e-16,2.480898106974388,1.9801324503311257,2.0,1.04224244572618,5.0,1.0,2.0,1.814569536423841,2.1456953642384105,0,92,90.01086956521739,2.3685517847462328e-21
openai,openai,151,63,88,151,0,88,41.72185430463576,58.27814569536424,100.0,0.0,58.27814569536424,139.68253968253967,34.157765411352614,49.696687917616664,97.51910189302563,100.00000000000003,1.734723475976807e-16,2.480898106974388,1.728476821192053,2.0,0.7477412639359249,5.0,1.0,2.0,1.6158940397350994,1.8476821192052981,0,88,86.01136363636364,1.7890461743444834e-20
