model_id,batch_index,iteration,iteration_start,iteration_end,iteration_duration_seconds,success,return_code,tokens_used_this_iter_total,tokens_used_total
3,1,1,2026-02-20T16:01:53.569803Z,2026-02-20T16:01:56.683535Z,3.1136694159940816,True,0,478,478
2,1,1,2026-02-20T16:01:53.569680Z,2026-02-20T16:01:56.854589Z,3.2848302080092253,True,0,503,503
1,1,1,2026-02-20T16:01:53.569860Z,2026-02-20T16:01:58.255187Z,4.6852367499959655,True,0,517,517
4,1,1,2026-02-20T16:01:53.569012Z,2026-02-20T16:01:57.328115Z,3.759053458998096,False,1,548,548
4,1,2,2026-02-20T16:01:57.328179Z,2026-02-20T16:02:00.185439Z,2.8572453329979908,True,0,1631,2179
5,1,1,2026-02-20T16:01:57.900567Z,2026-02-20T16:02:00.830105Z,2.9294890000019222,True,0,424,424
6,1,1,2026-02-20T16:01:58.234899Z,2026-02-20T16:02:04.439862Z,6.204867458000081,True,0,828,828
8,1,1,2026-02-20T16:02:01.612898Z,2026-02-20T16:02:06.681808Z,5.0688740000041435,True,0,556,556
10,1,1,2026-02-20T16:02:05.517163Z,2026-02-20T16:02:10.637631Z,5.120408791990485,False,1,571,571
10,1,2,2026-02-20T16:02:10.637710Z,2026-02-20T16:02:14.655007Z,4.017319917009445,True,0,945,1516
11,1,1,2026-02-20T16:02:08.617474Z,2026-02-20T16:02:13.242086Z,4.624540459000855,False,1,601,601
11,1,2,2026-02-20T16:02:13.242131Z,2026-02-20T16:02:16.855415Z,3.6132630000065546,True,0,989,1590
7,1,1,2026-02-20T16:02:13.613664Z,2026-02-20T16:02:17.330549Z,3.716847959003644,False,1,460,460
7,1,2,2026-02-20T16:02:17.330653Z,2026-02-20T16:02:19.797827Z,2.4672553749987856,True,0,1941,2401
12,1,1,2026-02-20T16:02:16.103751Z,2026-02-20T16:02:20.543763Z,4.4394900830084225,True,0,627,627
14,1,1,2026-02-20T16:02:21.030636Z,2026-02-20T16:02:25.368120Z,4.337393791996874,False,1,598,598
14,1,2,2026-02-20T16:02:25.368184Z,2026-02-20T16:02:28.778422Z,3.410210709000239,True,0,1214,1812
13,1,1,2026-02-20T16:02:18.687044Z,2026-02-20T16:02:24.968221Z,6.281086874994799,False,1,732,732
13,1,2,2026-02-20T16:02:24.968279Z,2026-02-20T16:02:29.805556Z,4.837220457993681,True,0,1589,2321
15,1,1,2026-02-20T16:02:21.648882Z,2026-02-20T16:02:27.093518Z,5.444543833000353,False,1,673,673
15,1,2,2026-02-20T16:02:27.093561Z,2026-02-20T16:02:32.215034Z,5.121428999991622,True,0,2154,2827
16,1,1,2026-02-20T16:02:29.664768Z,2026-02-20T16:02:34.084089Z,4.419259249989409,False,1,614,614
