model_id,batch_index,iteration,iteration_start,iteration_end,iteration_duration_seconds,success,return_code,tokens_used_this_iter_total,tokens_used_total
144,1,1,2026-02-20T15:56:02.364918Z,2026-02-20T15:56:29.689849Z,27.32443995900394,False,1,1741,1741
144,1,2,2026-02-20T15:56:29.689900Z,2026-02-20T15:57:04.271547Z,34.58103533300164,False,1,3405,5146
144,1,3,2026-02-20T15:57:04.271594Z,2026-02-20T15:57:53.478785Z,49.206335166993085,False,1,4013,9159
144,1,4,2026-02-20T15:57:53.478868Z,2026-02-20T15:58:26.184984Z,32.705547167002806,False,1,2356,11515
144,1,5,2026-02-20T15:58:26.185037Z,2026-02-20T15:59:38.348070Z,72.16172666699276,False,1,5410,16925
144,1,6,2026-02-20T15:59:38.348125Z,2026-02-20T16:00:16.082819Z,37.734023832992534,False,1,2615,19540
144,1,7,2026-02-20T16:00:16.082869Z,2026-02-20T16:00:33.852879Z,17.76970741599507,False,1,1648,21188
144,1,8,2026-02-20T16:00:33.852922Z,2026-02-20T16:01:18.819408Z,44.96568366601423,True,0,2925,24113
