model,mean,std,count,se
OpenAI,48.966887417218544,22.987653851156146,151,1.8707087398297269
Anthropic,103.01324503311258,84.23744114149137,151,6.855145739736052
DeepSeek,43.74834437086093,22.853509881575842,151,1.8597922584039066
Mistral,49.82781456953642,19.185328279496627,151,1.56127987315903
