model_id,batch_index,iteration,iteration_start,iteration_end,iteration_duration_seconds,success,return_code,tokens_used_this_iter_total,tokens_used_total
140,1,2,2026-02-20T05:12:19.041248Z,2026-02-20T05:12:33.856151Z,14.815193791997444,False,1,3108,6576
140,1,3,2026-02-20T05:12:33.856217Z,2026-02-20T05:12:45.162503Z,11.306515999996918,True,0,2185,8761
144,1,1,2026-02-20T05:12:22.126213Z,2026-02-20T05:12:39.793446Z,17.66755745899718,False,1,1081,1081
144,1,2,2026-02-20T05:12:39.793512Z,2026-02-20T05:12:52.376518Z,12.583253374999913,True,0,2454,3535
146,1,1,2026-02-20T05:12:45.824130Z,2026-02-20T05:12:57.974499Z,12.150581084002624,True,0,1154,1154
145,1,1,2026-02-20T05:12:33.372791Z,2026-02-20T05:12:46.586385Z,13.21386154100037,False,1,1008,1008
145,1,2,2026-02-20T05:12:46.586486Z,2026-02-20T05:13:05.637226Z,19.05111345899786,True,0,2086,3094
147,1,1,2026-02-20T05:12:53.062751Z,2026-02-20T05:13:11.727400Z,18.664984374998312,True,0,1558,1558
149,1,1,2026-02-20T05:13:06.252687Z,2026-02-20T05:13:21.240302Z,14.987894000005326,True,0,1496,1496
150,1,1,2026-02-20T05:13:12.967765Z,2026-02-20T05:13:23.688106Z,10.720538458001101,True,0,1050,1050
148,1,1,2026-02-20T05:12:58.616234Z,2026-02-20T05:13:10.553403Z,11.937374541994359,False,1,1217,1217
148,1,2,2026-02-20T05:13:10.553450Z,2026-02-20T05:13:24.806550Z,14.253405791998375,True,0,2392,3609
143,1,1,2026-02-20T05:12:12.658603Z,2026-02-20T05:13:12.290796Z,59.63319500000216,False,1,4078,4078
143,1,2,2026-02-20T05:13:12.290844Z,2026-02-20T05:13:26.769218Z,14.478648708995024,True,0,2590,6668
151,1,1,2026-02-20T05:13:21.908271Z,2026-02-20T05:13:34.502551Z,12.59450504200504,False,1,1093,1093
151,1,2,2026-02-20T05:13:34.502602Z,2026-02-20T05:13:38.187468Z,3.6849539590039058,True,0,889,1982
