model_id,batch_index,iteration,iteration_start,iteration_end,iteration_duration_seconds,success,return_code,tokens_used_this_iter_total,tokens_used_total
122,1,1,2026-02-20T14:36:48.360401Z,2026-02-20T14:36:56.186602Z,7.826195084009669,True,0,1099,1099
125,1,1,2026-02-20T14:36:57.141179Z,2026-02-20T14:37:09.224383Z,12.083188834003522,True,0,1685,1685
126,1,1,2026-02-20T14:37:10.330384Z,2026-02-20T14:37:15.204815Z,4.874436250000144,True,0,648,648
127,1,1,2026-02-20T14:37:16.375798Z,2026-02-20T14:37:20.062779Z,3.686984041996766,True,0,581,581
128,1,1,2026-02-20T14:37:21.021523Z,2026-02-20T14:37:26.463672Z,5.4421350409975275,True,0,741,741
129,1,1,2026-02-20T14:37:27.429180Z,2026-02-20T14:37:37.737994Z,10.308801916995435,True,0,1480,1480
130,1,1,2026-02-20T14:37:38.702122Z,2026-02-20T14:37:48.127305Z,9.42514824999671,True,0,1387,1387
131,1,1,2026-02-20T14:37:49.548050Z,2026-02-20T14:37:56.415198Z,6.867135207998217,True,0,1002,1002
132,1,1,2026-02-20T14:37:57.519982Z,2026-02-20T14:38:02.710429Z,5.1904669999930775,True,0,848,848
133,1,1,2026-02-20T14:38:04.243896Z,2026-02-20T14:38:14.136282Z,9.892361499994877,True,0,1150,1150
134,1,1,2026-02-20T14:38:15.448788Z,2026-02-20T14:38:33.247381Z,17.79856108300737,False,1,1904,1904
134,1,2,2026-02-20T14:38:33.247445Z,2026-02-20T14:38:44.505586Z,11.258147957996698,True,0,3573,5477
135,1,1,2026-02-20T14:38:45.781126Z,2026-02-20T14:38:52.338243Z,6.5571262080047745,True,0,912,912
121,1,1,2026-02-20T14:36:48.351451Z,2026-02-20T14:37:17.412318Z,29.060788749993662,False,1,3458,3458
121,1,2,2026-02-20T14:37:17.412368Z,2026-02-20T14:37:47.009467Z,29.597040540989838,False,1,7669,11127
121,1,3,2026-02-20T14:37:47.009526Z,2026-02-20T14:38:17.568169Z,30.55857529200148,False,1,7720,18847
121,1,4,2026-02-20T14:38:17.568220Z,2026-02-20T14:38:45.981484Z,28.413209416990867,False,1,6582,25429
121,1,5,2026-02-20T14:38:45.981543Z,2026-02-20T14:39:11.155209Z,25.17362120799953,False,1,6582,32011
121,1,6,2026-02-20T14:39:11.155275Z,2026-02-20T14:39:39.608016Z,28.452669375008554,False,1,6582,38593
121,1,7,2026-02-20T14:39:39.608057Z,2026-02-20T14:40:07.837630Z,28.22951641700638,False,1,6583,45176
121,1,8,2026-02-20T14:40:07.837680Z,2026-02-20T14:40:36.075887Z,28.23815462499624,False,1,7203,52379
136,2,1,2026-02-20T14:40:37.565552Z,2026-02-20T14:40:40.685122Z,3.1195888750080485,True,0,530,530
138,2,1,2026-02-20T14:40:41.446369Z,2026-02-20T14:40:48.321285Z,6.874930457997834,True,0,1002,1002
137,2,1,2026-02-20T14:40:37.573295Z,2026-02-20T14:40:44.757768Z,7.184476374997757,False,1,1024,1024
137,2,2,2026-02-20T14:40:44.757828Z,2026-02-20T14:40:51.061815Z,6.304005167010473,True,0,2446,3470
139,2,1,2026-02-20T14:40:49.332585Z,2026-02-20T14:40:54.706106Z,5.373561957996571,True,0,981,981
140,2,1,2026-02-20T14:40:51.991162Z,2026-02-20T14:41:02.898878Z,10.90769387500768,True,0,1522,1522
142,2,1,2026-02-20T14:41:04.358527Z,2026-02-20T14:41:08.167199Z,3.8087090000044554,True,0,636,636
143,2,1,2026-02-20T14:41:09.100274Z,2026-02-20T14:41:17.385566Z,8.2852839170082,True,0,1231,1231
144,2,1,2026-02-20T14:41:18.475044Z,2026-02-20T14:41:27.767470Z,9.292414542011102,True,0,1248,1248
141,2,1,2026-02-20T14:40:55.476339Z,2026-02-20T14:41:19.259256Z,23.78285733399389,False,1,3390,3390
141,2,2,2026-02-20T14:41:19.259310Z,2026-02-20T14:41:32.398020Z,13.138693500004592,True,0,5654,9044
145,2,1,2026-02-20T14:41:28.985728Z,2026-02-20T14:41:36.074804Z,7.089090000008582,True,0,940,940
146,2,1,2026-02-20T14:41:33.197492Z,2026-02-20T14:41:47.263757Z,14.064019000012195,False,1,1881,1881
146,2,2,2026-02-20T14:41:47.263831Z,2026-02-20T14:41:53.506225Z,6.2423975840065395,True,0,3568,5449
147,2,1,2026-02-20T14:41:36.992968Z,2026-02-20T14:41:44.791527Z,7.798542541000643,False,1,1236,1236
147,2,2,2026-02-20T14:41:44.791569Z,2026-02-20T14:41:53.505397Z,8.71443762499257,True,0,3315,4551
148,2,1,2026-02-20T14:41:55.024324Z,2026-02-20T14:42:02.297941Z,7.273621667001862,True,0,1052,1052
149,2,1,2026-02-20T14:41:55.016831Z,2026-02-20T14:42:10.806055Z,15.78916983299132,True,0,1830,1830
150,2,1,2026-02-20T14:42:03.218236Z,2026-02-20T14:42:19.224309Z,16.01381124999898,True,0,1306,1306
151,3,1,2026-02-20T14:42:20.563690Z,2026-02-20T14:42:33.506571Z,12.951546374999452,True,0,1374,1374
